국립제주박물관,	 일주동로 17(건입동)
자연사랑갤러리,		 표선면 가시리 613번길 46
점보빌리지,		 안덕면 평화로 319번길 31-11
정석항공관,		 표선면 녹산로 554
제주다원,		 산록남로 1258(색달동)
제주도예촌,		 대정읍 암반수마농로 433
제주민속촌,		 표선면 민속해안로 631-34
제주서커스월드,		 안덕면 동광로 214
제주여미지식물원,		 중문관광로 93(색달동)
제주옹기박물관,		 대정읍 중산간서로 2345
제주유리박물관,		 중산간서로 1403(상예동)
제주조각공원,		 안덕면 일주서로 1836
제주조랑말타운,		 표선면 번영로 2564-21
제주허브동산,		 표선면 돈오름로 170
제주화석박물관,		 표선면 하천로 11
조안베어박물관,		 대포로 113(대포동)
초콜릿박물관,		 대정읍 일주서로 3000번길 144
카멜리아힐,		 안덕면 병악로 166
테디베어뮤지엄,		 중문관광로 110번길 31(색달동)
트릭아트뮤지엄,		 표선면 번영로 2644
토이파크,		 안덕면 동광로 267-7
퍼시픽랜드,		 중문관광로 154-17(색달동)
한국야구명예전당,		 중산간서로 97-1(강정동)
황금륭골든힐허브팜,		 대정읍 칠전로 434
휴애리(생활공원),		 남원읍 신례동로 256
동춘서커스 제주,	 중문관광로 227-24
여미지식물원,		 중문관광로 93
오백년이야기,		 성산읍 난고로 336-20
제주휴먼박물관,		 성산읍 난산로 293
토이파크,		 안덕면 동광로 267-7
포니밸리,		 표선면 번영로 2564-21
헬로키티 아일랜드,		 안덕면 한창로 340
번개과학체험관,		서귀포시 토평동 1799
베니스랜드,		서귀포시 성산읍 난산리 2575
상효원,		서귀포시 상효동 25
세계술박물관,		서귀포시 표선면 한마음초등로 431
신세계쇼앤서커스,		서귀포시 중문관광로 227-24
아쿠아플라넷,		서귀포시 성산읍 섭지코지로 95
자연사랑갤러리,		서귀포시 표선면 가시리로 613번길 46
제주항공우주박물관,	서귀포시 안덕면 분재로 218
